sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
236,86.2,Others,82.3,Others,Arts,89.0,Comm&Mgmt,No,44.36,Mkt&Fin,65.87,Placed,563963.0
237,71.03,Central,89.29,Others,Arts,60.2,Comm&Mgmt,Yes,64.4,Mkt&Fin,79.54,Placed,657466.0
238,85.31,Central,55.8,Others,Commerce,78.99,Comm&Mgmt,Yes,78.78,Mkt&HR,67.61,Placed,709431.0
239,50.8,Central,71.56,Others,Arts,81.83,Comm&Mgmt,No,88.61,Mkt&HR,53.67,Placed,662031.0
240,54.91,Others,83.96,Others,Commerce,67.65,Comm&Mgmt,No,72.82,Mkt&Fin,67.62,Placed,598086.0
241,87.32,Central,57.28,Central,Science,58.45,Sci&Tech,Yes,77.12,Mkt&Fin,70.31,Placed,641636.0
242,85.86,Others,56.54,Others,Commerce,57.56,Sci&Tech,Yes,50.28,Mkt&HR,68.31,Placed,604961.0
243,60.47,Central,46.36,Others,Arts,84.26,Comm&Mgmt,Yes,42.16,Mkt&Fin,82.65,Placed,639216.0
244,73.88,Central,92.93,Others,Commerce,70.43,Others,Yes,85.92,Mkt&HR,86.43,Placed,714935.0
245,77.27,Others,80.5,Central,Arts,53.61,Others,No,49.69,Mkt&HR,81.47,Placed,482260.0
246,89.05,Others,76.78,Central,Commerce,78.68,Comm&Mgmt,No,45.29,Mkt&Fin,73.31,Placed,530228.0
247,77.14,Others,82.2,Others,Arts,60.01,Others,No,94.38,Mkt&Fin,71.66,Placed,602390.0
248,68.57,Central,71.58,Others,Science,85.06,Others,Yes,95.88,Mkt&Fin,75.78,Placed,795389.0
249,66.84,Central,68.81,Others,Commerce,62.38,Comm&Mgmt,Yes,75.74,Mkt&HR,61.51,Placed,642774.0
250,69.16,Central,67.48,Others,Commerce,58.01,Sci&Tech,No,61.96,Mkt&HR,82.47,Placed,542589.0
251,79.34,Others,77.02,Central,Arts,53.39,Comm&Mgmt,No,88.33,Mkt&Fin,84.27,Placed,579007.0
252,89.04,Others,55.08,Central,Commerce,70.46,Comm&Mgmt,Yes,51.87,Mkt&Fin,60.69,Placed,642508.0
253,70.43,Central,89.4,Others,Commerce,68.03,Sci&Tech,Yes,64.9,Mkt&Fin,86.11,Placed,678958.0
254,61.15,Others,85.59,Others,Science,80.05,Others,No,60.71,Mkt&HR,83.95,Placed,577039.0
255,60.65,Central,62.48,Central,Commerce,68.58,Others,No,92.94,Mkt&Fin,66.98,Placed,627623.0
256,83.57,Others,73.93,Central,Commerce,63.75,Sci&Tech,No,93.35,Mkt&HR,86.36,Placed,612852.0
257,86.75,Others,52.05,Central,Science,60.47,Comm&Mgmt,No,77.75,Mkt&Fin,54.82,Placed,565934.0
258,54.74,Others,93.62,Central,Arts,61.13,Sci&Tech,No,46.42,Mkt&Fin,51.12,Not Placed,
259,53.0,Central,90.14,Others,Arts,87.11,Sci&Tech,No,67.97,Mkt&HR,63.91,Placed,641084.0
260,76.75,Others,91.09,Central,Arts,56.6,Sci&Tech,Yes,54.23,Mkt&HR,72.62,Placed,617566.0
261,56.58,Central,61.61,Others,Commerce,89.53,Comm&Mgmt,No,91.33,Mkt&Fin,64.06,Placed,680669.0
262,87.11,Others,53.46,Central,Science,63.08,Sci&Tech,No,48.03,Mkt&HR,87.68,Placed,534152.0
263,63.97,Central,55.59,Others,Commerce,53.54,Sci&Tech,Yes,43.15,Mkt&HR,60.19,Not Placed,
264,56.47,Others,49.5,Central,Arts,59.95,Comm&Mgmt,No,80.86,Mkt&Fin,61.25,Placed,573412.0
265,91.44,Central,51.01,Others,Science,52.34,Comm&Mgmt,No,66.29,Mkt&Fin,75.39,Placed,499040.0
266,57.45,Central,48.57,Others,Commerce,81.6,Sci&Tech,Yes,88.63,Mkt&HR,50.15,Placed,738120.0
267,62.81,Others,94.49,Others,Arts,70.5,Comm&Mgmt,Yes,44.33,Mkt&Fin,79.1,Placed,645394.0
268,56.91,Others,48.7,Others,Commerce,63.48,Sci&Tech,No,86.46,Mkt&HR,65.1,Placed,588256.0
269,55.2,Central,51.63,Others,Commerce,76.48,Others,No,42.17,Mkt&HR,89.11,Placed,539341.0
270,50.95,Others,86.36,Others,Arts,75.23,Comm&Mgmt,No,41.63,Mkt&HR,77.66,Placed,549765.0
271,52.49,Central,74.01,Central,Science,87.59,Others,No,66.76,Mkt&HR,52.09,Placed,612593.0
272,57.86,Central,83.72,Central,Arts,88.45,Sci&Tech,No,52.83,Mkt&Fin,53.71,Placed,584277.0
273,52.4,Central,76.55,Central,Science,77.23,Others,No,74.44,Mkt&Fin,53.53,Placed,581013.0
274,76.6,Central,89.11,Central,Arts,82.71,Comm&Mgmt,No,41.5,Mkt&HR,88.1,Placed,542699.0
275,80.63,Central,76.92,Others,Science,81.7,Sci&Tech,No,42.05,Mkt&HR,77.36,Placed,554803.0
276,67.71,Central,71.11,Central,Commerce,69.65,Others,No,82.17,Mkt&HR,67.1,Placed,609531.0
277,64.31,Central,80.64,Central,Commerce,78.18,Sci&Tech,No,52.19,Mkt&HR,58.02,Not Placed,
278,72.7,Central,67.37,Others,Arts,53.13,Sci&Tech,No,78.07,Mkt&Fin,84.95,Placed,537751.0
279,89.38,Central,62.3,Central,Commerce,80.32,Others,Yes,83.5,Mkt&Fin,58.06,Placed,719041.0
280,88.3,Others,68.38,Central,Science,88.47,Sci&Tech,No,43.44,Mkt&HR,78.27,Placed,593118.0
281,51.96,Others,53.49,Others,Commerce,53.4,Comm&Mgmt,No,84.65,Mkt&Fin,80.53,Placed,555742.0
282,58.17,Central,84.83,Others,Commerce,83.44,Sci&Tech,Yes,55.57,Mkt&HR,61.79,Placed,668644.0
283,60.65,Central,58.04,Others,Science,87.32,Sci&Tech,No,62.59,Mkt&HR,70.2,Placed,617617.0
284,61.22,Others,52.68,Others,Commerce,59.05,Sci&Tech,No,45.03,Mkt&Fin,58.92,Not Placed,
285,75.71,Others,57.32,Others,Science,70.99,Sci&Tech,Yes,88.64,Mkt&HR,65.16,Placed,733505.0
286,68.73,Others,87.1,Others,Arts,87.11,Comm&Mgmt,Yes,72.52,Mkt&Fin,88.61,Placed,719774.0
287,52.22,Others,61.51,Central,Commerce,88.41,Comm&Mgmt,No,69.27,Mkt&HR,77.73,Placed,647006.0
288,66.81,Others,79.3,Others,Commerce,55.12,Sci&Tech,No,96.18,Mkt&HR,83.86,Placed,592613.0
289,73.57,Others,87.82,Central,Commerce,63.96,Comm&Mgmt,Yes,59.4,Mkt&Fin,71.62,Placed,617448.0
290,54.58,Central,48.89,Central,Arts,77.93,Sci&Tech,No,91.67,Mkt&Fin,59.56,Placed,655096.0
291,87.51,Central,83.25,Others,Science,58.86,Comm&Mgmt,Yes,81.74,Mkt&Fin,78.52,Placed,676089.0
292,52.34,Central,60.38,Others,Science,62.99,Others,No,93.85,Mkt&Fin,70.02,Placed,599470.0
293,91.62,Central,55.83,Central,Commerce,50.93,Others,No,92.65,Mkt&HR,57.07,Not Placed,
294,54.46,Others,79.45,Others,Arts,56.14,Others,No,97.48,Mkt&HR,66.5,Placed,587281.0
295,87.96,Others,90.49,Others,Commerce,72.49,Sci&Tech,No,47.64,Mkt&HR,75.39,Placed,543179.0
296,90.62,Others,59.75,Others,Arts,76.12,Sci&Tech,No,86.17,Mkt&Fin,79.41,Placed,607301.0
297,94.08,Central,73.44,Central,Commerce,75.96,Others,No,86.66,Mkt&HR,59.73,Placed,618253.0
298,86.09,Central,59.49,Others,Arts,81.13,Sci&Tech,Yes,77.37,Mkt&Fin,85.04,Placed,733221.0
299,85.08,Central,72.71,Central,Commerce,66.61,Others,Yes,56.17,Mkt&HR,65.18,Placed,639813.0
300,78.91,Others,76.09,Others,Commerce,60.94,Comm&Mgmt,Yes,95.98,Mkt&Fin,60.85,Placed,724395.0
301,85.05,Central,75.52,Central,Science,50.62,Sci&Tech,No,51.86,Mkt&HR,57.8,Placed,466416.0
302,56.05,Central,76.18,Others,Commerce,58.27,Others,No,68.98,Mkt&Fin,82.17,Not Placed,
303,74.12,Others,51.75,Central,Commerce,62.5,Comm&Mgmt,No,70.25,Mkt&HR,64.17,Placed,549272.0
304,73.14,Others,79.68,Central,Science,57.13,Others,Yes,49.39,Mkt&Fin,69.34,Placed,581325.0
305,88.59,Others,78.74,Central,Commerce,50.81,Comm&Mgmt,Yes,81.91,Mkt&HR,58.91,Placed,663808.0
306,70.83,Central,79.13,Others,Science,56.3,Sci&Tech,No,45.15,Mkt&Fin,77.44,Placed,490356.0
307,67.33,Central,48.7,Central,Arts,76.64,Others,No,80.2,Mkt&Fin,81.24,Placed,617091.0
308,78.78,Central,67.34,Others,Commerce,75.18,Sci&Tech,Yes,89.22,Mkt&Fin,63.58,Placed,718727.0
309,61.99,Central,65.45,Central,Science,87.43,Comm&Mgmt,Yes,60.26,Mkt&Fin,87.8,Placed,726882.0
310,56.29,Others,49.34,Central,Commerce,81.93,Comm&Mgmt,Yes,81.15,Mkt&Fin,51.22,Placed,709598.0
311,71.5,Central,56.12,Others,Science,72.71,Others,No,49.09,Mkt&HR,55.32,Placed,522065.0
312,68.76,Central,67.05,Others,Commerce,55.5,Others,Yes,89.07,Mkt&Fin,73.55,Placed,653631.0
313,60.47,Others,82.15,Central,Commerce,72.56,Comm&Mgmt,Yes,95.22,Mkt&HR,78.06,Placed,740770.0
314,66.54,Central,56.85,Central,Commerce,52.46,Others,No,48.86,Mkt&Fin,60.03,Placed,460229.0
315,66.49,Central,86.49,Central,Arts,67.24,Sci&Tech,Yes,80.13,Mkt&Fin,72.16,Placed,701837.0
316,64.74,Central,72.29,Others,Commerce,65.61,Sci&Tech,No,69.34,Mkt&Fin,62.74,Placed,545306.0
317,67.08,Central,83.02,Others,Arts,67.11,Others,Yes,70.83,Mkt&HR,72.16,Placed,676813.0
318,80.86,Central,68.63,Central,Arts,61.19,Comm&Mgmt,No,80.98,Mkt&HR,76.37,Placed,585310.0
319,63.36,Others,69.96,Others,Science,77.43,Comm&Mgmt,No,68.35,Mkt&HR,88.91,Placed,612919.0
320,92.7,Others,75.99,Central,Commerce,83.64,Sci&Tech,Yes,74.82,Mkt&HR,68.23,Placed,715201.0
321,91.24,Central,91.4,Central,Arts,80.74,Sci&Tech,Yes,53.39,Mkt&Fin,75.93,Placed,652734.0
322,71.64,Central,69.59,Others,Arts,75.11,Others,No,61.95,Mkt&Fin,73.12,Placed,587081.0
323,64.78,Central,71.43,Others,Commerce,71.53,Others,No,90.18,Mkt&HR,62.7,Placed,617385.0
324,74.09,Others,75.1,Central,Arts,51.24,Others,Yes,46.37,Mkt&HR,60.12,Not Placed,
325,88.19,Others,81.88,Others,Arts,78.92,Comm&Mgmt,Yes,74.66,Mkt&HR,89.51,Placed,695486.0
326,79.37,Others,48.59,Central,Commerce,71.8,Comm&Mgmt,Yes,50.69,Mkt&Fin,58.27,Not Placed,
327,86.2,Central,70.78,Others,Commerce,60.83,Sci&Tech,No,89.1,Mkt&HR,81.61,Placed,566647.0
328,73.97,Central,69.08,Central,Arts,63.11,Sci&Tech,No,73.58,Mkt&Fin,55.86,Placed,560760.0
329,78.48,Central,91.08,Central,Commerce,87.42,Comm&Mgmt,No,63.38,Mkt&HR,82.17,Placed,589071.0
330,62.97,Central,69.68,Central,Science,74.97,Comm&Mgmt,Yes,54.49,Mkt&Fin,57.43,Placed,671396.0
331,83.07,Central,68.42,Others,Commerce,69.04,Sci&Tech,No,65.34,Mkt&HR,88.69,Placed,568044.0
332,59.11,Others,93.11,Others,Arts,74.84,Comm&Mgmt,No,95.54,Mkt&HR,77.44,Placed,620454.0
333,81.27,Central,67.53,Central,Commerce,66.55,Comm&Mgmt,Yes,69.53,Mkt&HR,53.6,Placed,663683.0
334,88.73,Others,54.04,Others,Commerce,68.81,Others,Yes,67.23,Mkt&Fin,77.73,Placed,662300.0
335,55.94,Others,55.85,Others,Commerce,61.61,Others,No,83.28,Mkt&Fin,74.14,Placed,585072.0
336,77.65,Others,49.76,Central,Commerce,67.59,Comm&Mgmt,No,61.98,Mkt&HR,63.5,Placed,551671.0
337,54.28,Central,45.03,Others,Science,77.42,Comm&Mgmt,No,64.79,Mkt&HR,60.43,Placed,584788.0
338,82.66,Others,66.6,Others,Commerce,51.6,Others,No,59.54,Mkt&Fin,78.75,Placed,515432.0
339,53.8,Central,83.46,Central,Arts,81.8,Others,No,48.75,Mkt&HR,79.65,Placed,568853.0
340,92.12,Central,81.67,Central,Science,61.32,Sci&Tech,Yes,81.4,Mkt&HR,63.09,Placed,687470.0
341,56.18,Central,46.61,Central,Commerce,77.3,Others,Yes,90.64,Mkt&HR,85.05,Placed,757447.0
342,93.15,Central,73.5,Others,Arts,75.71,Sci&Tech,Yes,92.52,Mkt&Fin,60.75,Placed,754582.0
343,86.04,Others,52.71,Others,Science,76.11,Comm&Mgmt,No,91.09,Mkt&HR,52.79,Placed,658287.0
344,76.72,Others,92.05,Central,Arts,74.33,Sci&Tech,No,66.2,Mkt&Fin,73.99,Placed,590283.0
345,85.22,Others,53.37,Central,Commerce,88.36,Others,Yes,56.48,Mkt&HR,54.28,Placed,706127.0
346,85.78,Central,76.33,Central,Arts,70.33,Sci&Tech,Yes,77.0,Mkt&Fin,61.07,Placed,691517.0
347,92.57,Central,61.31,Central,Science,79.29,Others,No,95.37,Mkt&HR,70.29,Placed,638835.0
348,61.4,Others,77.08,Central,Arts,78.22,Sci&Tech,No,82.17,Mkt&Fin,61.45,Placed,640393.0
349,76.55,Central,65.61,Central,Science,59.45,Sci&Tech,No,68.7,Mkt&Fin,58.6,Placed,550413.0
350,54.28,Others,82.98,Others,Arts,61.33,Comm&Mgmt,Yes,79.95,Mkt&HR,78.13,Placed,687554.0
351,77.73,Others,56.53,Central,Science,66.96,Others,No,84.81,Mkt&HR,71.88,Placed,605573.0
352,57.71,Others,90.29,Others,Commerce,61.11,Sci&Tech,No,93.32,Mkt&HR,83.59,Placed,593994.0
353,75.42,Others,70.01,Central,Commerce,64.67,Sci&Tech,No,84.27,Mkt&HR,73.25,Placed,577311.0
354,75.76,Central,82.8,Central,Arts,65.64,Sci&Tech,No,65.13,Mkt&HR,69.34,Placed,576462.0
355,70.97,Central,87.49,Others,Arts,74.15,Comm&Mgmt,No,55.87,Mkt&Fin,60.45,Placed,570870.0
356,73.52,Central,94.94,Others,Science,58.8,Sci&Tech,No,68.99,Mkt&Fin,81.68,Placed,558120.0
357,84.38,Central,56.2,Others,Arts,82.17,Others,No,59.03,Mkt&Fin,57.87,Not Placed,
358,85.97,Central,59.34,Others,Commerce,67.5,Sci&Tech,No,94.68,Mkt&Fin,59.69,Placed,617383.0
359,72.15,Others,57.52,Central,Commerce,78.25,Others,No,69.46,Mkt&Fin,83.66,Placed,575385.0
360,76.98,Central,58.14,Central,Science,53.26,Others,No,67.38,Mkt&HR,79.65,Placed,498004.0
361,91.91,Others,74.12,Others,Science,68.8,Others,No,60.2,Mkt&HR,74.51,Placed,562138.0
362,55.39,Others,94.68,Others,Arts,51.13,Others,Yes,77.09,Mkt&HR,51.56,Placed,618794.0
363,55.27,Others,94.51,Others,Arts,77.04,Others,Yes,70.16,Mkt&Fin,55.09,Placed,675540.0
364,53.95,Central,71.34,Others,Commerce,63.75,Sci&Tech,No,47.48,Mkt&HR,70.0,Not Placed,
365,79.6,Others,76.95,Central,Arts,87.97,Comm&Mgmt,No,90.41,Mkt&HR,79.85,Placed,675756.0
366,68.84,Central,88.0,Central,Science,62.96,Others,No,60.82,Mkt&Fin,68.56,Placed,516077.0
367,84.84,Central,91.65,Central,Arts,72.55,Comm&Mgmt,No,65.09,Mkt&HR,50.69,Placed,572823.0
368,80.21,Central,55.19,Others,Commerce,60.3,Others,No,51.93,Mkt&HR,57.37,Not Placed,
369,65.01,Central,71.43,Others,Commerce,74.8,Others,No,72.1,Mkt&HR,73.55,Placed,568785.0
370,90.43,Central,86.64,Central,Commerce,68.68,Others,Yes,80.72,Mkt&HR,77.77,Placed,697722.0
371,84.31,Central,60.16,Others,Arts,64.83,Sci&Tech,Yes,91.11,Mkt&HR,51.34,Placed,696544.0
372,62.17,Others,66.99,Others,Commerce,58.15,Comm&Mgmt,No,42.99,Mkt&HR,51.73,Not Placed,
373,66.39,Central,94.28,Central,Arts,54.46,Sci&Tech,Yes,96.45,Mkt&Fin,60.45,Placed,662066.0
374,64.15,Central,94.25,Central,Arts,54.8,Sci&Tech,No,80.82,Mkt&HR,53.34,Placed,568395.0
375,57.09,Others,90.31,Others,Commerce,89.96,Sci&Tech,No,56.49,Mkt&Fin,71.68,Placed,583181.0
376,56.65,Others,84.92,Others,Arts,66.49,Comm&Mgmt,No,51.86,Mkt&HR,54.95,Placed,541402.0
377,92.13,Others,58.46,Central,Commerce,50.08,Comm&Mgmt,Yes,57.17,Mkt&HR,75.93,Not Placed,
378,69.71,Central,61.04,Central,Commerce,88.12,Others,No,90.79,Mkt&HR,81.09,Placed,666324.0
379,67.25,Others,72.36,Central,Science,50.8,Others,Yes,56.9,Mkt&Fin,88.82,Placed,580227.0
380,82.84,Others,73.04,Others,Commerce,66.74,Others,No,66.84,Mkt&Fin,87.94,Placed,541011.0
381,74.88,Central,70.28,Central,Commerce,78.7,Sci&Tech,Yes,80.93,Mkt&HR,60.93,Placed,714956.0
382,92.13,Central,76.83,Others,Commerce,86.58,Comm&Mgmt,No,90.58,Mkt&Fin,51.18,Placed,674382.0
383,85.11,Others,65.42,Central,Science,78.52,Others,No,78.2,Mkt&HR,63.18,Placed,628204.0
384,71.57,Central,82.46,Central,Commerce,68.55,Sci&Tech,Yes,83.68,Mkt&HR,78.34,Placed,682074.0
385,66.94,Central,61.68,Central,Commerce,88.98,Comm&Mgmt,Yes,50.05,Mkt&Fin,52.39,Placed,667596.0
386,94.4,Others,61.53,Others,Science,51.57,Others,No,90.89,Mkt&Fin,64.39,Placed,564555.0
387,82.3,Others,51.36,Central,Science,89.48,Others,Yes,55.99,Mkt&HR,61.92,Placed,709459.0
388,92.8,Others,54.44,Others,Arts,83.98,Others,Yes,47.45,Mkt&HR,58.77,Placed,695873.0
389,55.33,Others,87.53,Central,Commerce,87.16,Comm&Mgmt,No,96.62,Mkt&HR,78.25,Placed,692786.0
390,88.27,Others,67.31,Others,Science,60.19,Comm&Mgmt,No,51.7,Mkt&Fin,76.36,Placed,511485.0
391,78.67,Central,56.39,Central,Arts,55.7,Comm&Mgmt,No,47.93,Mkt&HR,71.42,Placed,492551.0
392,55.49,Central,82.97,Central,Science,76.53,Others,No,76.31,Mkt&Fin,86.43,Placed,614487.0
393,76.47,Others,72.7,Others,Commerce,70.63,Comm&Mgmt,No,58.49,Mkt&Fin,54.13,Placed,551456.0
394,80.87,Central,46.06,Others,Science,70.93,Comm&Mgmt,No,47.73,Mkt&HR,55.99,Placed,542128.0
395,50.55,Central,60.82,Others,Science,86.98,Sci&Tech,No,74.87,Mkt&HR,65.34,Placed,620452.0
396,70.44,Others,53.85,Central,Commerce,74.8,Comm&Mgmt,No,84.02,Mkt&Fin,76.24,Placed,633959.0
397,87.14,Others,77.79,Others,Science,62.44,Sci&Tech,Yes,86.01,Mkt&HR,73.36,Placed,702423.0
398,63.29,Central,58.75,Central,Commerce,66.0,Comm&Mgmt,Yes,49.02,Mkt&Fin,52.96,Not Placed,
399,70.63,Central,48.25,Others,Science,55.34,Others,No,72.3,Mkt&Fin,88.34,Placed,533453.0
400,69.9,Others,47.75,Others,Arts,57.69,Others,Yes,87.19,Mkt&Fin,62.2,Not Placed,
401,63.59,Central,74.09,Others,Science,55.73,Comm&Mgmt,No,49.34,Mkt&HR,64.36,Not Placed,
402,91.33,Others,46.09,Others,Arts,82.41,Others,Yes,52.05,Mkt&HR,74.95,Placed,660128.0
403,85.16,Others,87.44,Others,Commerce,78.19,Others,No,40.14,Mkt&HR,87.81,Placed,531926.0
404,54.98,Others,52.77,Others,Arts,71.21,Comm&Mgmt,Yes,70.43,Mkt&HR,76.51,Placed,685222.0
405,94.87,Central,75.33,Central,Arts,64.97,Others,No,51.29,Mkt&Fin,88.19,Placed,532160.0
406,89.56,Others,67.23,Central,Arts,76.74,Comm&Mgmt,No,82.01,Mkt&HR,57.5,Placed,609026.0
407,62.78,Central,67.14,Others,Arts,82.52,Others,No,95.81,Mkt&Fin,74.75,Placed,645038.0
408,87.66,Others,48.59,Others,Science,85.25,Comm&Mgmt,Yes,52.11,Mkt&Fin,83.16,Placed,685351.0
409,54.79,Central,85.14,Others,Science,71.88,Sci&Tech,Yes,77.65,Mkt&Fin,70.36,Placed,702867.0
410,94.96,Central,89.65,Others,Arts,82.8,Sci&Tech,No,52.29,Mkt&Fin,64.49,Placed,591307.0
411,79.96,Others,45.55,Central,Arts,70.45,Others,Yes,41.04,Mkt&Fin,89.39,Placed,593578.0
412,79.26,Central,53.93,Central,Science,68.98,Sci&Tech,No,84.0,Mkt&HR,55.64,Placed,575818.0
413,54.07,Others,90.2,Others,Commerce,84.62,Others,Yes,65.17,Mkt&Fin,66.44,Placed,703525.0
414,90.37,Others,72.47,Others,Commerce,65.45,Sci&Tech,Yes,94.91,Mkt&Fin,84.93,Placed,714365.0
415,51.3,Central,52.5,Central,Commerce,65.84,Comm&Mgmt,No,70.99,Mkt&HR,86.02,Placed,539678.0
416,60.84,Central,55.14,Central,Commerce,62.2,Comm&Mgmt,No,49.13,Mkt&HR,89.22,Not Placed,
417,56.44,Others,78.0,Central,Commerce,70.75,Comm&Mgmt,Yes,66.09,Mkt&Fin,85.39,Placed,665375.0
418,84.95,Central,81.24,Central,Commerce,71.79,Sci&Tech,No,51.77,Mkt&HR,52.04,Placed,532879.0
419,58.92,Central,74.97,Others,Arts,76.42,Sci&Tech,Yes,90.93,Mkt&HR,87.19,Placed,746647.0
420,90.98,Central,92.66,Others,Commerce,67.22,Comm&Mgmt,No,80.07,Mkt&Fin,67.13,Placed,563535.0
421,79.53,Central,69.7,Others,Science,58.71,Comm&Mgmt,No,59.79,Mkt&Fin,76.06,Placed,540127.0
422,51.63,Others,60.01,Others,Science,84.67,Others,No,70.61,Mkt&Fin,65.77,Placed,603703.0
423,50.24,Central,68.86,Central,Commerce,63.84,Comm&Mgmt,No,78.83,Mkt&Fin,82.55,Placed,571211.0
424,52.32,Others,62.98,Central,Arts,86.92,Sci&Tech,Yes,85.41,Mkt&Fin,73.04,Placed,780911.0
425,77.27,Central,56.22,Central,Arts,58.29,Sci&Tech,No,44.65,Mkt&Fin,83.82,Placed,497303.0
426,86.07,Others,47.3,Central,Arts,72.4,Comm&Mgmt,No,41.31,Mkt&Fin,57.75,Not Placed,
427,60.73,Central,62.61,Others,Arts,71.46,Comm&Mgmt,No,46.64,Mkt&Fin,57.4,Not Placed,
428,88.22,Central,80.57,Central,Science,83.15,Others,No,62.91,Mkt&Fin,67.62,Placed,611262.0
429,52.58,Others,45.92,Central,Arts,55.55,Comm&Mgmt,No,67.07,Mkt&Fin,50.19,Not Placed,
430,86.04,Central,66.96,Others,Commerce,86.4,Comm&Mgmt,No,47.91,Mkt&Fin,77.71,Placed,585612.0
431,91.75,Central,77.2,Others,Arts,71.26,Sci&Tech,No,63.85,Mkt&Fin,61.84,Placed,557777.0
432,84.74,Others,75.52,Central,Arts,73.44,Sci&Tech,No,65.61,Mkt&HR,72.29,Placed,590390.0
433,81.42,Central,83.83,Central,Commerce,70.41,Others,No,46.33,Mkt&Fin,52.8,Placed,510107.0
434,87.71,Central,85.53,Others,Science,51.44,Comm&Mgmt,No,93.17,Mkt&Fin,56.83,Placed,585487.0
435,51.81,Central,80.59,Others,Science,69.88,Comm&Mgmt,No,74.75,Mkt&Fin,74.91,Placed,583178.0
436,59.08,Others,50.14,Others,Commerce,60.54,Comm&Mgmt,Yes,62.54,Mkt&Fin,62.23,Not Placed,
437,55.62,Others,68.75,Central,Arts,63.71,Sci&Tech,No,69.4,Mkt&Fin,58.59,Placed,558485.0
438,72.7,Others,75.17,Central,Commerce,75.96,Comm&Mgmt,Yes,58.22,Mkt&HR,59.15,Placed,646083.0
439,83.53,Others,57.28,Central,Commerce,69.91,Comm&Mgmt,No,89.55,Mkt&HR,58.59,Not Placed,
440,78.35,Central,47.13,Others,Commerce,53.73,Sci&Tech,Yes,73.35,Mkt&HR,74.91,Placed,643359.0
441,88.3,Central,56.18,Others,Arts,52.92,Comm&Mgmt,Yes,68.7,Mkt&HR,56.71,Placed,644201.0
442,56.98,Central,67.74,Others,Commerce,57.43,Comm&Mgmt,No,92.83,Mkt&HR,64.51,Placed,607180.0
443,83.06,Central,65.7,Others,Science,57.64,Sci&Tech,No,88.6,Mkt&HR,77.52,Placed,576905.0
444,58.69,Central,53.83,Others,Arts,74.33,Comm&Mgmt,No,87.14,Mkt&HR,70.55,Placed,610172.0
445,62.18,Others,86.22,Central,Commerce,57.11,Others,No,53.09,Mkt&HR,73.89,Placed,501388.0
446,81.95,Others,91.28,Central,Arts,85.27,Sci&Tech,Yes,48.88,Mkt&Fin,60.04,Placed,676743.0
447,94.11,Others,55.07,Others,Commerce,58.39,Others,No,80.03,Mkt&Fin,87.31,Placed,555092.0
448,77.52,Others,91.48,Central,Arts,53.65,Comm&Mgmt,No,67.18,Mkt&HR,66.56,Placed,513373.0
449,52.45,Others,45.89,Central,Commerce,85.03,Others,No,79.66,Mkt&Fin,61.48,Placed,657826.0
450,77.73,Central,91.25,Central,Commerce,61.81,Sci&Tech,No,84.12,Mkt&Fin,86.17,Placed,573193.0
451,51.91,Others,92.6,Central,Arts,67.02,Others,Yes,57.13,Mkt&Fin,76.21,Not Placed,
452,89.79,Others,45.6,Others,Arts,88.36,Comm&Mgmt,No,56.51,Mkt&HR,74.56,Placed,614169.0
453,81.93,Central,83.15,Others,Arts,87.77,Others,No,68.47,Mkt&Fin,85.47,Placed,633503.0
454,57.79,Central,93.51,Others,Arts,78.6,Others,Yes,55.87,Mkt&HR,52.34,Placed,666459.0
455,54.13,Others,90.3,Central,Science,52.76,Sci&Tech,No,78.7,Mkt&HR,83.51,Placed,547179.0
456,58.26,Central,93.54,Central,Commerce,73.73,Sci&Tech,No,83.31,Mkt&HR,77.11,Placed,634864.0
457,94.1,Others,72.52,Central,Commerce,89.56,Sci&Tech,Yes,67.38,Mkt&Fin,64.4,Placed,749660.0
458,70.64,Others,48.91,Central,Science,87.88,Comm&Mgmt,No,81.98,Mkt&HR,60.25,Placed,667082.0
459,85.28,Central,87.49,Others,Science,54.24,Others,Yes,69.61,Mkt&Fin,54.19,Placed,631107.0
460,78.64,Central,75.69,Others,Science,65.84,Comm&Mgmt,Yes,81.35,Mkt&Fin,87.64,Placed,661602.0
461,75.76,Central,75.74,Others,Commerce,62.62,Sci&Tech,No,53.05,Mkt&Fin,55.68,Placed,519570.0
462,56.53,Central,65.86,Central,Science,55.19,Sci&Tech,Yes,82.85,Mkt&HR,60.38,Placed,672197.0
463,92.57,Central,73.59,Others,Commerce,77.79,Comm&Mgmt,Yes,81.48,Mkt&HR,77.64,Placed,738574.0
464,63.56,Others,52.68,Central,Commerce,60.95,Others,No,55.46,Mkt&HR,78.41,Placed,532412.0
465,76.01,Central,81.99,Central,Commerce,63.79,Sci&Tech,Yes,72.25,Mkt&Fin,56.43,Placed,685195.0
466,81.49,Central,48.75,Others,Science,53.61,Comm&Mgmt,No,89.61,Mkt&HR,82.57,Placed,565874.0
467,79.22,Central,81.49,Central,Science,69.92,Comm&Mgmt,No,54.47,Mkt&Fin,70.41,Placed,524185.0
468,92.33,Others,87.45,Central,Commerce,56.33,Sci&Tech,Yes,82.69,Mkt&HR,83.94,Placed,659210.0
469,56.68,Central,68.62,Others,Science,67.28,Others,No,95.33,Mkt&Fin,53.49,Placed,608435.0
